Entity,crop,avg_act_to_att_yield
Burkina Faso,rapeseed,
Burkina Faso,barley,
Burkina Faso,rye,
Burkina Faso,wheat,
Burundi,sugarcane,0.69
Burundi,millet,0.62
Burundi,oilpalm,0.54
Burundi,cassava,0.43
Burundi,rice,0.31
Burundi,potato,0.29
Burundi,soybean,0.27
Burundi,cotton,0.26
Burundi,maize,0.2
Burundi,groundnut,0.2
Burundi,sorghum,0.19
Burundi,wheat,0.18
Burundi,rye,
Burundi,sugarbeet,
Burundi,sunflower,
Burundi,rapeseed,
Burundi,barley,
Cambodia,cotton,1
Cambodia,cassava,1
Cambodia,maize,0.99
Cambodia,groundnut,0.66
Cambodia,rice,0.65
Cambodia,soybean,0.55
Cambodia,sugarcane,0.22
Cambodia,barley,
Cambodia,rye,
Cambodia,potato,
Cambodia,sorghum,
Cambodia,oilpalm,
Cambodia,rapeseed,
Cambodia,millet,
Cambodia,sunflower,
Cambodia,sugarbeet,
Cambodia,wheat,
Cameroon,oilpalm,0.95
Cameroon,millet,0.9
Cameroon,cassava,0.83
Cameroon,groundnut,0.66
Cameroon,sorghum,0.58
Cameroon,potato,0.47
Cameroon,maize,0.46
Cameroon,soybean,0.43
Cameroon,cotton,0.43
Cameroon,wheat,0.33
Cameroon,rice,0.22
Cameroon,sugarcane,0.1
Cameroon,sunflower,
Cameroon,rapeseed,
Cameroon,sugarbeet,
Cameroon,barley,
Cameroon,rye,
Canada,rapeseed,1
Canada,wheat,1
Canada,sugarbeet,0.99
Canada,barley,0.98
Canada,maize,0.97
Canada,soybean,0.94
Canada,sunflower,0.93
Canada,potato,0.87
Canada,rye,0.72
Canada,rice,
Canada,oilpalm,
Canada,sugarcane,
Canada,cotton,
Canada,millet,
Canada,groundnut,
Canada,cassava,
Canada,sorghum,
Chile,rapeseed,1
Chile,sugarbeet,1
Chile,maize,0.99
Chile,barley,0.98
Chile,wheat,0.95
Chile,rye,0.89
Chile,sunflower,0.74
Chile,rice,0.65
Chile,potato,0.65
Chile,cassava,
Chile,groundnut,
Chile,oilpalm,
Chile,cotton,
Chile,millet,
Chile,sorghum,
Chile,soybean,
Chile,sugarcane,
China,sunflower,0.99
China,cotton,0.96
China,wheat,0.96
China,millet,0.96
China,barley,0.95
China,sorghum,0.94
China,rye,0.9
China,sugarbeet,0.88
China,rice,0.87
China,groundnut,0.87
China,cassava,0.84
China,rapeseed,0.84
China,sugarcane,0.78
China,oilpalm,0.67
China,maize,0.65
China,soybean,0.64
China,potato,0.61
Colombia,sorghum,1
Colombia,oilpalm,1
Colombia,sugarcane,0.95
Colombia,cotton,0.92
Colombia,soybean,0.87
Colombia,rice,0.81
Colombia,potato,0.72
Colombia,maize,0.64
Colombia,groundnut,0.49
Colombia,cassava,0.47
Colombia,barley,0.38
Colombia,sugarbeet,0.36
Colombia,wheat,0.28
Colombia,sunflower,
Colombia,millet,
Colombia,rapeseed,
Colombia,rye,
Congo,cassava,0.7
Congo,oilpalm,0.66
Congo,millet,0.56
Congo,sugarcane,0.4
Congo,potato,0.38
Congo,groundnut,0.24
Congo,maize,0.21
Congo,rice,0.1
Congo,sorghum,
Congo,cotton,
Congo,barley,
Congo,wheat,
Congo,sunflower,
Congo,soybean,
Congo,rye,
Congo,rapeseed,
Congo,sugarbeet,
Costa Rica,potato,1
Costa Rica,cassava,0.81
Costa Rica,sugarcane,0.8
Costa Rica,oilpalm,0.79
Costa Rica,rice,0.76
Costa Rica,groundnut,0.57
Costa Rica,maize,0.54
Costa Rica,cotton,0.43
Costa Rica,millet,
Costa Rica,soybean,
Costa Rica,sunflower,
Costa Rica,rapeseed,
Costa Rica,rye,
Costa Rica,wheat,
Costa Rica,sorghum,
Costa Rica,sugarbeet,
Costa Rica,barley,
Cote d'Ivoire,sugarcane,0.89
Cote d'Ivoire,groundnut,0.82
Cote d'Ivoire,millet,0.63
Cote d'Ivoire,cotton,0.61
Cote d'Ivoire,maize,0.57
Cote d'Ivoire,rice,0.57
Cote d'Ivoire,soybean,0.52
Cote d'Ivoire,oilpalm,0.43
Cote d'Ivoire,sorghum,0.41
Cote d'Ivoire,cassava,0.4
Cote d'Ivoire,barley,
Cote d'Ivoire,rye,
Cote d'Ivoire,sunflower,
Cote d'Ivoire,wheat,
Cote d'Ivoire,sugarbeet,
Cote d'Ivoire,potato,
Cote d'Ivoire,rapeseed,
Croatia,sunflower,1
Croatia,millet,0.96
Croatia,rapeseed,0.88
Croatia,soybean,0.81
Croatia,sugarbeet,0.76
Croatia,wheat,0.73
Croatia,maize,0.71
Croatia,barley,0.66
Croatia,sorghum,0.66
Croatia,rye,0.51
Croatia,potato,0.44
Croatia,groundnut,
Croatia,sugarcane,
Croatia,cassava,
Croatia,oilpalm,
Croatia,rice,
Croatia,cotton,
Cuba,potato,0.95
Cuba,rice,0.79
Cuba,maize,0.61
Cuba,groundnut,0.58
Cuba,sorghum,0.54
Cuba,sugarcane,0.5
Cuba,cassava,0.42
Cuba,sugarbeet,
Cuba,wheat,
Cuba,sunflower,
Cuba,soybean,
Cuba,rye,
Cuba,barley,
Cuba,oilpalm,
Cuba,cotton,
Cuba,millet,
Cuba,rapeseed,
Cyprus,cassava,
Cyprus,groundnut,
Cyprus,wheat,
Cyprus,rapeseed,
Cyprus,millet,
Cyprus,sugarbeet,
Cyprus,sugarcane,
Cyprus,cotton,
Cyprus,maize,
Cyprus,rice,
Cyprus,oilpalm,
Cyprus,sorghum,
Cyprus,soybean,
Cyprus,rye,
Cyprus,potato,
Cyprus,barley,
Cyprus,sunflower,
Czechia,sunflower,1
Czechia,sugarbeet,1
Czechia,rye,0.91
Czechia,rapeseed,0.91
Czechia,potato,0.89
Czechia,barley,0.82
Czechia,wheat,0.81
Czechia,maize,0.8
Czechia,soybean,0.73
Czechia,cotton,
Czechia,groundnut,
Czechia,rice,
Czechia,cassava,
Czechia,sugarcane,
Czechia,oilpalm,
Czechia,millet,
Czechia,sorghum,
Democratic Republic of Congo,cassava,0.55
Democratic Republic of Congo,sugarcane,0.51
Democratic Republic of Congo,millet,0.44
Democratic Republic of Congo,oilpalm,0.36
Democratic Republic of Congo,wheat,0.33
Democratic Republic of Congo,groundnut,0.3
Democratic Republic of Congo,sorghum,0.21
Democratic Republic of Congo,potato,0.2
Democratic Republic of Congo,soybean,0.17
Democratic Republic of Congo,maize,0.17
Democratic Republic of Congo,cotton,0.16
Democratic Republic of Congo,rice,0.13
Democratic Republic of Congo,rapeseed,
Democratic Republic of Congo,barley,
Democratic Republic of Congo,sugarbeet,
Democratic Republic of Congo,sunflower,
Democratic Republic of Congo,rye,
Denmark,potato,1
Denmark,sugarbeet,0.99
Denmark,rye,0.99
Denmark,rapeseed,0.98
Denmark,wheat,0.96
Denmark,barley,0.93
Denmark,sorghum,
Denmark,sugarcane,
Denmark,cotton,
Denmark,groundnut,
Denmark,soybean,
Denmark,sunflower,
Denmark,oilpalm,
Denmark,rice,
Denmark,millet,
Denmark,cassava,
Denmark,maize,
Dominica,cotton,
Dominica,wheat,
Dominica,cassava,
Dominica,groundnut,
Dominica,rice,
Dominica,barley,
Dominica,sunflower,
Dominica,rapeseed,
Dominica,maize,
Dominica,sugarbeet,
Dominica,rye,
Dominica,soybean,
Dominica,oilpalm,
Dominica,millet,
Dominica,potato,
Dominica,sugarcane,
Dominica,sorghum,
Ecuador,sugarcane,0.91
Ecuador,rice,0.69
Ecuador,oilpalm,0.65
Ecuador,maize,0.57
Ecuador,soybean,0.57
Ecuador,cotton,0.53
Ecuador,sorghum,0.52
Ecuador,groundnut,0.47
Ecuador,potato,0.33
Ecuador,cassava,0.26
Ecuador,wheat,0.19
Ecuador,barley,0.17
Ecuador,rye,0.12
Ecuador,sugarbeet,0.09
Ecuador,rapeseed,
Ecuador,sunflower,
Ecuador,millet,
Egypt,wheat,1
Egypt,sugarcane,0.99
Egypt,cotton,0.73
Egypt,barley,0.64
Egypt,rice,
Egypt,rapeseed,
Egypt,sorghum,
Egypt,potato,
Egypt,millet,
Egypt,oilpalm,
Egypt,groundnut,
Egypt,soybean,
Egypt,sugarbeet,
Egypt,sunflower,
Egypt,maize,
Egypt,cassava,
Egypt,rye,
El Salvador,potato,0.99
El Salvador,rice,0.98
El Salvador,sugarcane,0.96
El Salvador,cassava,0.85
El Salvador,maize,0.76
El Salvador,cotton,0.75
El Salvador,soybean,0.67
El Salvador,sorghum,0.62
El Salvador,rye,
El Salvador,millet,
El Salvador,rapeseed,
El Salvador,wheat,
El Salvador,sugarbeet,
El Salvador,barley,
El Salvador,groundnut,
El Salvador,oilpalm,
El Salvador,sunflower,
Eritrea,barley,0.52
Eritrea,groundnut,0.41
Eritrea,maize,0.26
Eritrea,wheat,0.24
Eritrea,millet,0.21
Eritrea,sorghum,0.17
Eritrea,potato,0.06
Eritrea,cassava,
Eritrea,sugarbeet,
Eritrea,cotton,
Eritrea,rice,
Eritrea,oilpalm,
Eritrea,rye,
Eritrea,soybean,
Eritrea,sunflower,
Eritrea,rapeseed,
Eritrea,sugarcane,
Estonia,potato,0.97
Estonia,rye,0.89
Estonia,barley,0.75
Estonia,wheat,0.66
Estonia,rapeseed,0.57
Estonia,sorghum,
Estonia,maize,
Estonia,groundnut,
Estonia,oilpalm,
Estonia,rice,
Estonia,sugarbeet,
Estonia,soybean,
Estonia,cassava,
Estonia,cotton,
Estonia,millet,
Estonia,sunflower,
Estonia,sugarcane,
Ethiopia,millet,0.93
Ethiopia,rapeseed,0.88
Ethiopia,sugarcane,0.8
Ethiopia,soybean,0.73
Ethiopia,groundnut,0.55
Ethiopia,maize,0.54
Ethiopia,barley,0.52
Ethiopia,sorghum,0.52
Ethiopia,wheat,0.51
Ethiopia,potato,0.46
Ethiopia,rice,0.37
Ethiopia,cotton,0.33
Ethiopia,sugarbeet,
Ethiopia,sunflower,
Ethiopia,oilpalm,
Ethiopia,cassava,
Ethiopia,rye,
Finland,potato,1
Finland,barley,1
Finland,rye,0.94
Finland,wheat,0.81
Finland,sugarbeet,0.79
Finland,rapeseed,0.62
Finland,millet,
Finland,soybean,
Finland,sorghum,
Finland,groundnut,
Finland,cotton,
Finland,cassava,
Finland,maize,
Finland,rice,
Finland,sugarcane,
Finland,sunflower,
Finland,oilpalm,
France,sorghum,1
France,millet,1
France,sugarbeet,1
France,rapeseed,0.98
France,potato,0.96
France,barley,0.95
France,sunflower,0.94
France,wheat,0.92
France,maize,0.91
France,rye,0.87
France,soybean,0.86
France,rice,0.56
France,cotton,
France,cassava,
France,groundnut,
France,sugarcane,
France,oilpalm,
French Polynesia,rapeseed,
French Polynesia,sunflower,
French Polynesia,wheat,
French Polynesia,cotton,
French Polynesia,oilpalm,
French Polynesia,millet,
French Polynesia,rye,
French Polynesia,sorghum,
French Polynesia,sugarbeet,
French Polynesia,maize,
French Polynesia,rice,
French Polynesia,barley,
French Polynesia,soybean,
French Polynesia,sugarcane,
French Polynesia,groundnut,
French Polynesia,cassava,
French Polynesia,potato,
Gabon,sugarcane,0.66
Gabon,rice,0.49
Gabon,groundnut,0.43
Gabon,maize,0.42
Gabon,cassava,0.32
Gabon,soybean,0.31
Gabon,oilpalm,0.25
Gabon,millet,
Gabon,sorghum,
Gabon,rapeseed,
Gabon,potato,
Gabon,rye,
Gabon,wheat,
Gabon,cotton,
Gabon,sugarbeet,
Gabon,barley,
Gabon,sunflower,
Gambia,millet,0.72
Gambia,oilpalm,0.63
Gambia,groundnut,0.61
Gambia,sorghum,0.61
Gambia,maize,0.36
Gambia,cotton,0.36
Gambia,rice,0.2
Gambia,cassava,0.13
Gambia,potato,
Gambia,rye,
Gambia,sunflower,
Gambia,barley,
Gambia,sugarbeet,
Gambia,wheat,
Gambia,rapeseed,
Gambia,sugarcane,
Gambia,soybean,
Georgia,soybean,0.94
Georgia,barley,0.33
Georgia,potato,0.32
Georgia,wheat,0.3
Georgia,rye,0.28
Georgia,sunflower,0.27
Georgia,maize,0.22
Georgia,groundnut,0.18
Georgia,sugarcane,
Georgia,sugarbeet,
Georgia,oilpalm,
Georgia,rapeseed,
Georgia,millet,
Georgia,cotton,
Georgia,rice,
Georgia,sorghum,
Georgia,cassava,
Germany,sugarbeet,1
Germany,potato,0.98
Germany,wheat,0.96
Germany,rapeseed,0.96
Germany,maize,0.96
Germany,sunflower,0.96
Germany,barley,0.95
Germany,rye,0.92
Germany,soybean,0.67
Germany,sugarcane,
Germany,sorghum,
Germany,groundnut,
Germany,rice,
Germany,cotton,
Germany,millet,
Germany,oilpalm,
Germany,cassava,
Ghana,cassava,0.96
Ghana,millet,0.88
Ghana,groundnut,0.71
Ghana,sorghum,0.7
Ghana,cotton,0.67
Ghana,rice,0.56
Ghana,maize,0.49
Ghana,oilpalm,0.41
Ghana,sugarcane,0.27
Ghana,rye,
Ghana,barley,
Ghana,potato,
Ghana,soybean,
Ghana,sugarbeet,
Ghana,sunflower,
Ghana,wheat,
Ghana,rapeseed,
Greece,maize,1
Greece,sunflower,0.99
Greece,millet,0.97
Greece,sugarbeet,0.89
Greece,soybean,0.86
Greece,rice,0.85
Greece,cotton,0.82
Greece,rapeseed,0.77
Greece,potato,0.76
Greece,groundnut,0.76
Greece,barley,0.68
Greece,wheat,0.54
Greece,sorghum,0.47
Greece,rye,0.43
Greece,sugarcane,
Greece,cassava,
Greece,oilpalm,
Grenada,soybean,
Grenada,sugarbeet,
Grenada,cassava,
Grenada,rice,
Grenada,groundnut,
Grenada,potato,
Grenada,rye,
Grenada,sunflower,
Grenada,oilpalm,
Grenada,rapeseed,
Grenada,wheat,
Grenada,sorghum,
Grenada,millet,
Grenada,maize,
Grenada,sugarcane,
Grenada,barley,
Grenada,cotton,
Guatemala,groundnut,1
Guatemala,potato,1
Guatemala,sugarcane,0.99
Guatemala,soybean,0.96
Guatemala,cotton,0.96
Guatemala,oilpalm,0.78
Guatemala,sorghum,0.65
Guatemala,wheat,0.49
Guatemala,rice,0.48
Guatemala,barley,0.4
Guatemala,maize,0.38
Guatemala,cassava,0.06
Guatemala,millet,
Guatemala,rapeseed,
Guatemala,sunflower,
Guatemala,rye,
Guatemala,sugarbeet,
Guinea,millet,0.81
Guinea,sugarcane,0.57
Guinea,groundnut,0.55
Guinea,sorghum,0.46
Guinea,cassava,0.45
Guinea,cotton,0.4
Guinea,maize,0.35
Guinea,rice,0.25
Guinea,oilpalm,0.15
Guinea,rye,
Guinea,soybean,
Guinea,wheat,
Guinea,barley,
Guinea,sunflower,
Guinea,rapeseed,
Guinea,potato,
Guinea,sugarbeet,
Guyana,rice,0.86
Guyana,sugarcane,0.62
Guyana,groundnut,0.6
Guyana,cassava,0.5
Guyana,maize,0.38
Guyana,cotton,
Guyana,sorghum,
Guyana,barley,
Guyana,sugarbeet,
Guyana,millet,
Guyana,soybean,
Guyana,oilpalm,
Guyana,rapeseed,
Guyana,rye,
Guyana,wheat,
Guyana,potato,
Guyana,sunflower,
Honduras,sugarcane,0.92
Honduras,oilpalm,0.79
Honduras,soybean,0.77
Honduras,rice,0.76
Honduras,potato,0.68
Honduras,cotton,0.61
Honduras,cassava,0.43
Honduras,maize,0.4
Honduras,sorghum,0.35
Honduras,groundnut,0.21
Honduras,wheat,0.15
Honduras,barley,
Honduras,sugarbeet,
Honduras,millet,
Honduras,rapeseed,
Honduras,rye,
Honduras,sunflower,
Hungary,sunflower,1
Hungary,rapeseed,0.89
Hungary,sugarbeet,0.89
Hungary,barley,0.87
Hungary,wheat,0.8
Hungary,soybean,0.76
Hungary,potato,0.73
Hungary,sorghum,0.72
Hungary,millet,0.7
Hungary,maize,0.69
Hungary,rye,0.63
Hungary,rice,0.39
Hungary,cassava,
Hungary,groundnut,
Hungary,cotton,
Hungary,sugarcane,
Hungary,oilpalm,
Iceland,rapeseed,
Iceland,cotton,
Iceland,oilpalm,
Iceland,sorghum,
Iceland,groundnut,
Iceland,wheat,
Iceland,sugarbeet,
Iceland,sunflower,
Iceland,potato,
Iceland,millet,
Iceland,rye,
Iceland,cassava,
Iceland,barley,
Iceland,maize,
Iceland,rice,
Iceland,soybean,
Iceland,sugarcane,
India,cotton,1
India,potato,0.95
India,cassava,0.91
India,groundnut,0.91
India,rapeseed,0.91
India,millet,0.88
India,maize,0.76
India,rice,0.76
India,sugarcane,0.76
India,wheat,0.69
India,soybean,0.6
India,sorghum,0.59
India,sunflower,0.53
India,barley,0.47
India,oilpalm,
India,rye,
India,sugarbeet,
Indonesia,cassava,1
Indonesia,maize,1
Indonesia,rice,0.97
Indonesia,oilpalm,0.82
Indonesia,groundnut,0.78
Indonesia,potato,0.74
Indonesia,sugarcane,0.61
Indonesia,soybean,0.51
Indonesia,cotton,0.11
Indonesia,millet,
Indonesia,rapeseed,
Indonesia,sorghum,
Indonesia,wheat,
Indonesia,rye,
Indonesia,sunflower,
Indonesia,barley,
Indonesia,sugarbeet,
Iran,millet,0.97
Iran,groundnut,0.89
Iran,soybean,0.77
Iran,sugarcane,0.76
Iran,maize,0.68
Iran,sugarbeet,0.62
Iran,potato,0.61
Iran,barley,0.58
Iran,cotton,0.56
Iran,sunflower,0.51
Iran,rice,0.51
Iran,rapeseed,0.51
Iran,wheat,0.39
Iran,rye,
Iran,oilpalm,
Iran,cassava,
Iran,sorghum,
Iraq,sunflower,0.92
Iraq,cotton,0.9
Iraq,groundnut,0.68
Iraq,rice,0.67
Iraq,potato,0.62
Iraq,millet,0.6
Iraq,wheat,0.5
Iraq,maize,0.47
Iraq,barley,0.4
Iraq,soybean,0.25
Iraq,sugarcane,0.19
Iraq,sugarbeet,0.12
Iraq,oilpalm,
Iraq,cassava,
Iraq,rye,
Iraq,rapeseed,
Iraq,sorghum,
Ireland,rapeseed,1
Ireland,barley,0.99
Ireland,wheat,0.98
Ireland,potato,0.77
Ireland,sugarbeet,0.75
Ireland,rye,0.48
Ireland,sorghum,
Ireland,sugarcane,
Ireland,groundnut,
Ireland,maize,
Ireland,cassava,
Ireland,cotton,
Ireland,soybean,
Ireland,rice,
Ireland,millet,
Ireland,sunflower,
Ireland,oilpalm,
Israel,sunflower,1
Israel,sorghum,1
Israel,maize,1
Israel,groundnut,1
Israel,cotton,0.99
Israel,potato,0.99
Israel,barley,0.76
Israel,wheat,0.53
Israel,rye,
Israel,rapeseed,
Israel,sugarcane,
Israel,oilpalm,
Israel,cassava,
Israel,millet,
Israel,sugarbeet,
Israel,rice,
Israel,soybean,
Italy,sorghum,0.98
Italy,sunflower,0.98
